10054_at_aerobic	1	1547.8	1219.3	1494.2	975.5	961.5	912.9	999.6	897.9	893	977.7	899.3	974.4
10054_at_anaerobic	2	1109.6	1391.2	889	761	739.6	633.2	489.1	571.5	499	498.9	489.2	473.2
10055_at_aerobic	1	129.4	166.6	108.7	151.2	169.5	148.6	233.4	182.4	115.7	135	141.5	146.9
10055_at_anaerobic	2	88.1	50.2	95.1	110.8	178.8	105.3	65.4	73.5	73.5	69.5	113.1	90.4
10056_at_aerobic	1	277.1	270.2	299	199.6	222.5	250.9	177	131.6	123.3	189.7	191.5	215.5
10056_at_anaerobic	2	210.9	128.3	128.1	334	300.2	338	221	211.9	231.4	231.6	284.4	219
10057_at_aerobic	1	2	10.6	1.6	5.4	1.2	1.5	17.8	5.5	16.9	7.7	8.8	3.9
10057_at_anaerobic	2	4.3	2.1	1.9	5.8	6.2	2.1	3.2	3.9	4.2	3.7	0.9	7.2
10058_at_aerobic	1	68.2	116.7	87.9	113	59.5	69.3	147	74	76.5	62.5	63	62.6
10058_at_anaerobic	2	98	60.9	130	188.2	329.2	226.8	157.8	103.8	145.1	174.1	178.1	168.6
10059_at_aerobic	1	449.3	299.4	347.1	601.1	721.4	641.6	629.4	560.1	320.3	256.8	225.3	243.3
10059_at_anaerobic	2	444.8	261.7	377.5	1199	1007.1	1274.2	437.3	470.7	538.9	396.4	480.1	355.4
10060_at_aerobic	1	213.7	223.6	267.2	211.6	197.1	213.3	192.2	207.7	207.5	88.4	103.2	84.8
10060_at_anaerobic	2	192.4	129.6	173.2	215.4	196.9	236.5	184.6	174.5	269.2	122.4	173	106.7
10061_at_aerobic	1	1730.6	1752.1	1648.5	1344.7	1024.6	1302	1803.5	1582.4	2650.8	1606.6	1524.3	1545.4
10061_at_anaerobic	2	1856.2	2684.1	1710.2	982.1	1129	1338.6	1427.7	1061.7	1319.6	1302.7	1643.7	1267
10062_at_aerobic	1	87	87.9	75.5	111.5	103.1	114	137.1	144.9	130.4	185.9	163.9	191.4
10062_at_anaerobic	2	72.5	48.1	88.4	102.4	127.1	101	122.2	102.2	131.7	123.5	188.4	142.7
10063_i_at_aerobic	1	77.5	53.9	71.3	66.9	71.6	66.6	71.5	56.4	57.6	85.1	84.4	90.9
10063_i_at_anaerobic	2	50	24.4	75.5	67	99.4	56.4	48	48.6	44.6	56.5	112.3	89.1
10064_s_at_aerobic	1	104.7	94.1	97.3	97.8	123.6	101.4	123.9	84	62.9	119.5	144.6	130.9
10064_s_at_anaerobic	2	68.3	33.7	71.4	97.2	94.7	69.6	65.1	58.5	114.6	75	111.1	111.2
10065_at_aerobic	1	20.6	25.8	24.6	28.4	31.5	20.7	27.5	28.5	21.6	45.5	37.6	28.9
10065_at_anaerobic	2	7.9	3.3	35.5	21.1	26.8	14.2	18.4	16.5	21.1	17.7	24.4	33.4
10066_s_at_aerobic	1	235.1	221.7	245.9	253.6	179.5	223.5	225.1	171.8	186	148.6	176.1	187.8
10066_s_at_anaerobic	2	270	146.3	195	232.8	325.7	214.6	163.1	177.2	184.8	185.4	198.7	182.8
10067_at_aerobic	1	15.8	15	16.8	32	27	25.2	22.9	18.3	11.6	15.4	16	15.4
10067_at_anaerobic	2	15.8	5.2	7.9	38.6	48.4	35.4	15.1	16.4	25	19.4	17.6	12.6
10068_i_at_aerobic	1	2810.2	1624.1	1987.5	1898.9	2401.8	1463.2	2467.5	2311.8	2114.4	2155.7	2260.2	2085.4
10068_i_at_anaerobic	2	2997.9	3186.3	2767.1	3293.3	2272.1	2655.6	3701	2930.8	3193	2925.4	3036.8	3134.1
10069_f_at_aerobic	1	1087.1	846.8	952.2	946	1118.6	691.8	950	954.2	923.8	955.1	1079.5	1000
10069_f_at_anaerobic	2	1292.8	1255.4	1412.6	1637.3	1111.5	1255.2	1636.1	1418.5	1367.7	1367.3	1228.3	1574
10070_at_aerobic	1	29.3	33.1	37.1	27.3	29.3	28.3	12.6	12.2	13.1	16.5	21.3	24
10070_at_anaerobic	2	15.3	9.5	13.4	28.3	25.2	23	13.1	16.1	13.5	21.5	19.4	19.6
10071_at_aerobic	1	28.8	18.9	28.1	29.3	35.4	15.9	44.3	27	20.5	23.1	27.7	27.5
10071_at_anaerobic	2	24.5	10.9	18.4	37.4	44.2	24.3	39.8	40.1	37.8	21.7	21.7	32.8
10072_at_aerobic	1	11.8	16.5	17.6	4.3	0.5	3.8	2.8	3.3	0.5	7	7.8	8.3
10072_at_anaerobic	2	9.7	4.1	2.3	5.9	9.4	5.2	3.7	2	2	7.3	7.1	2.8
10073_at_aerobic	1	49.1	46.2	55.3	60.1	58.5	56.4	54	47.5	41.9	87.4	55.6	71.1
10073_at_anaerobic	2	58.4	36	17.9	60.8	84.7	64.6	48.8	47.9	45.8	58.9	42.4	60.4
10074_at_aerobic	1	2.7	0.4	3.1	1	0.8	0.3	3.5	2.3	1.8	1.6	0.4	0.3
10074_at_anaerobic	2	4.5	2.1	0.7	0.9	0.6	0.6	0.9	0.7	2	0.8	1.2	1.2
10075_at_aerobic	1	126.1	125.1	143.9	202.8	153.6	163.1	185.5	168.3	129	130.6	138.7	160
10075_at_anaerobic	2	141.3	50.3	143.9	205.9	187.4	137.8	137.8	153.1	140.8	174.1	160.1	159.3
10076_at_aerobic	1	23.5	15.5	19.9	17.9	13.2	10.7	25.2	12.7	19.8	6.9	9.8	1.7
10076_at_anaerobic	2	17.2	6.3	16.1	16.2	13.9	12.5	14.4	13.5	15.3	6.5	11	9.5
10077_at_aerobic	1	32.9	33.4	24	62	53	38.9	51.3	40.3	33.8	34.4	38.6	38.7
10077_at_anaerobic	2	37.6	13.7	31.6	49.4	71.4	41.1	31.6	29.3	31	34.7	28.1	31
